ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AP - Typhoid vaccines;J07AP03 - typhoid -  purified polysaccharide antigen
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BF - Alpha glucosidase inhibitors -  blood glucose lowering;A10BF02 - miglitol
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AB - Heparin group antithrombotic drugs;B01AB10 - tinzaparin
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01B - LOCAL ANESTHETICS;N01BA - Esters of aminobenzoic acid for local anesthesia;N01BA05 - benzocaine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J02 - ANTIMYCOTICS FOR SYSTEMIC USE;J02A - ANTIMYCOTICS FOR SYSTEMIC USE;J02AC - Triazole derivatives -  systemic antimycotics;J02AC02 - itraconazole
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03D - PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03DC - Estren derivatives -  sex hormones and modulators of the genital system;G03DC03 - lynestrenol
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06B - PSYCHOSTIMULANTS -  AGENTS USED FOR ADHD AND NOOTROPICS;N06BX - Other psychostimulants and nootropics in ATC;N06BX02 - pyritinol
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08C - MAGNETIC RESONANCE IMAGING CONTRAST MEDIA;V08CX - Other magnetic resonance imaging contrast media in ATC;V08CX01 - perflubron
D - DERMATOLOGICALS;D11 - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11A - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11AX - OTHER DERMATOLOGICAL PREPARATIONS IN ATC;D11AX57 - collagen -  combinations
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CG - Beta-lactamase inhibitors -  systemic penicillins;J01CG02 - tazobactam
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XB - Amino Acids -  I.V. solution additive;B05XB01 - arginine hydrochloride
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02C - ANTIMIGRAINE PREPARATIONS;N02CX - Other antimigraine preparations in ATC;N02CX08 - galcanezumab
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AA - HMG CoA reductase inhibitors -  plain lipid modifying drugs;C10AA02 - lovastatin
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AE - Sulfonamides -  Gynecological;G01AE10 - combinations of sulfonamides
V - VARIOUS DRUG CLASSES IN ATC;V08 - CONTRAST MEDIA;V08D - ULTRASOUND CONTRAST MEDIA;V08DA - Ultrasound contrast media;V08DA04 - microspheres of phospholipids
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AX - Other antihistamines for systemic use in ATC;R06AX09 - azatadine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC;A02BX11 - troxipide
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01B - ANTIMETABOLITES;L01BB - Purine analogs -  antimetabolites antineoplastic;L01BB02 - mercaptopurine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A11 - VITAMINS;A11A - MULTIVITAMINS -  COMBINATIONS;A11AA - Multivitamins with minerals;A11AA04 - multivitamins and trace elements
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AE - Indole derivatives -  antipsychotic;N05AE05 - lurasidone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03C - ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS;A03CB - Belladonna and derivatives in combination with psycholeptics;A03CB04 - methylhomatropine and psycholeptics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC;A02BX71 - carbenoxolone -  combinations with psycholeptics
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09I - TUMOUR DETECTION RADIOPHARMACEUTICALS;V09IB - Indium-111 tumour detection radiopharmaceuticals;V09IB04 - indium (111In) capromab pendetide
C - CARDIOVASCULAR SYSTEM DRUGS;C08 - CALCIUM CHANNEL BLOCKERS;C08D - SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS;C08DA - Phenylalkylamine derivatives -  selective calcium channel blockers with direct cardiac effects;C08DA51 - verapamil -  combinations
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB18 - potassium permanganate
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04C - DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY;G04CA - Alpha-adrenoreceptor antagonists -  benign prostatic hypertrophy;G04CA52 - tamsulosin and dutasteride
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01A - ALKYLATING AGENTS;L01AA - Nitrogen mustard analogues;L01AA02 - chlorambucil
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02K - OTHER ANTIHYPERTENSIVES in ATC;C02KX - Antihypertensives for pulmonary arterial hypertension;C02KX05 - riociguat
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BB - Influenza vaccines;J07BB02 - influenza -  inactivated -  split virus or surface antigen
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01B - ANTIMETABOLITES;L01BB - Purine analogs -  antimetabolites antineoplastic;L01BB05 - fludarabine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L03 - IMMUNOSTIMULANTS;L03A - IMMUNOSTIMULANTS;L03AA - Colony stimulating factors;L03AA12 - ancestim
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE48 - icotinib
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DA - Organic nitrates used in cardiac disease;C01DA08 - isosorbide dinitrate
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03A - ADRENERGICS -  INHALANTS;R03AK - Adrenergics inhalants in combination with corticosteroids or other drugs -  excl. anticholinergics;R03AK05 - reproterol and sodium cromoglicate
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02D - ARTERIOLAR SMOOTH MUSCLE -  AGENTS ACTING ON;C02DD - Nitroferricyanide derivatives acting on arteriolar smooth muscle;C02DD01 - nitroprusside
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03A - ADRENERGICS -  INHALANTS;R03AK - Adrenergics inhalants in combination with corticosteroids or other drugs -  excl. anticholinergics;R03AK08 - formoterol and beclometasone
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02D - OTHER OTOLOGICALS in ATC;S02DA - Analgesics and anesthetics;S02DA01 - lidocaine
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01B - LOCAL ANESTHETICS;N01BA - Esters of aminobenzoic acid for local anesthesia;N01BA52 - procaine -  combinations
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01B - ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION;M01BA - Antiinflammatory/antirheumatic agents in combination with corticosteroids;M01BA02 - dipyrocetyl and corticosteroids
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03G - GONADOTROPINS AND OTHER OVULATION STIMULANTS;G03GA - Gonadotropins;G03GA10 - follitropin delta
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AC - Synthetic antispasmodics -  amides with tertiary amines for functional gastrointestinal disorders;A03AC02 - dimethylaminopropionylphenothiazine
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AB - Anesthetics for topical use;D04AB01 - lidocaine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX47 - idelalisib
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09I - TUMOUR DETECTION RADIOPHARMACEUTICALS;V09IX - Other diagnostic radiopharmaceuticals for tumour detection in ATC;V09IX06 - sodium fluoride (18F)
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AB - Anesthetics for topical use;D04AB04 - benzocaine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AC - Synthetic antispasmodics -  amides with tertiary amines for functional gastrointestinal disorders;A03AC05 - tiropramide
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02D - OTHER OTOLOGICALS in ATC;S02DA - Analgesics and anesthetics;S02DA04 - cinchocaine
S - SENSORY ORGAN DRUGS;S02 - OTOLOGICALS;S02B - Corticosteroid otologicals;S02BA - Corticosteroids;S02BA06 - dexamethasone
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AA - Non-selective monoamine reuptake inhibitors;N06AA19 - amineptine
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09B - ACE INHIBITORS -  COMBINATIONS;C09BB - ACE inhibitors and calcium channel blockers;C09BB04 - perindopril and amlodipine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XC - Monoclonal antibodies -  antineoplastic;L01XC17 - nivolumab
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB05 - prednisolone and promethazine
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LA - Rauwolfia alkaloids and diuretics in combination;C02LA08 - rauwolfia alkaloids -  whole root and diuretics
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BB - Pyrazolones -  analgesics and antipyretics;N02BB73 - aminophenazone -  combinations with psycholeptics
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02C - ANTIMIGRAINE PREPARATIONS;N02CB - Corticosteroid derivatives -  antimigraine drugs;N02CB01 - flumedroxone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01M - QUINOLONE ANTIBACTERIALS;J01MA - Fluoroquinolone antibacterials -  systemic;J01MA06 - norfloxacin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE40 - olmutinib
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CA - Barbiturates -  hypnotics and sedatives -  plain;N05CA19 - thiopental
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AF - Barbiturates for general anesthesia -  plain;N01AF01 - methohexital
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01C - SPECIFIC ANTIRHEUMATIC AGENTS;M01CB - Gold preparations;M01CB05 - aurotioprol
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AE - Other antifungals for topical use in ATC;D01AE11 - haloprogin
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE;D06BX - Other chemotherapeutics in ATC;D06BX01 - metronidazole
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01EB - Short-acting sulfonamides;J01EB01 - sulfaisodimidine
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AX - Other antiinfectives in ATC;S01AX08 - hexamidine
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AA - Aminoalkyl ethers -  systemic antihistamines;R06AA06 - chlorphenoxamine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02 - ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02B - HORMONE ANTAGONISTS AND RELATED AGENTS;L02BG - Aromatase inhibitors;L02BG06 - exemestane
N - NERVOUS SYSTEM DRUGS;N04 - ANTI-PARKINSON DRUGS;N04A - ANTICHOLINERGIC AGENTS;N04AA - Tertiary amines -  anticholinergic;N04AA09 - phenglutarimide
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03F - PROGESTOGENS AND ESTROGENS IN COMBINATION;G03FB - Progestogens and estrogens -  sequential preparations;G03FB02 - lynestrenol and estrogen
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AD - Other agents for local oral treatment in ATC;A01AD02 - benzydamine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AK - Other drugs for treatment of tuberculosis in ATC;J04AK03 - terizidone
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DB - Other cough suppressants in ATC;R05DB28 - dimethoxanate
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA23 - tofisopam
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BD - Combinations of oral blood glucose lowering drugs;A10BD21 - saxagliptin and dapagliflozin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01EE - Combinations of sulfonamides and trimethoprim -  incl. derivatives;J01EE02 - sulfadiazine and trimethoprim
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AX - Other nasal preparations in ATC;R01AX02 - retinol
V - VARIOUS DRUG CLASSES IN ATC;V04 - DIAGNOSTIC AGENTS;V04C - OTHER DIAGNOSTIC AGENTS in ATC;V04CD - pituitary function test diagnostic agents;V04CD01 - metyrapone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AK - Other drugs for treatment of tuberculosis in ATC;J04AK06 - delamanid
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03F - PROGESTOGENS AND ESTROGENS IN COMBINATION;G03FB - Progestogens and estrogens -  sequential preparations;G03FB05 - norethisterone and estrogen
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03E - ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION;G03EA - Androgens and estrogens;G03EA02 - testosterone and estrogen
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AC - Biguanides and amidines as antiseptics and disinfectants;D08AC04 - hexamidine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CA - Natural and semisynthetic estrogens -  plain;G03CA07 - estrone
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CM - Other hypnotics and sedatives in ATC;N05CM16 - niaprazine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CD - Benzodiazepine derivative hypnotics and sedatives;N05CD07 - temazepam
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AF - Imidazole derivatives -  gyncological antiinfectives;G01AF15 - butoconazole
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P03 - ECTOPARASITICIDES -  INCL. SCABICIDES -  INSECTICIDES AND REPELLENTS;P03A - ECTOPARASITICIDES -  INCL. SCABICIDES;P03AB - Chlorine containing product ectoparasiticides;P03AB01 - clofenotane
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A08 - ANTIOBESITY PREPARATIONS -  EXCL. DIET PRODUCTS;A08A - ANTIOBESITY PREPARATIONS -  EXCL. DIET PRODUCTS;A08AA - Centrally acting antiobesity products;A08AA10 - sibutramine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G02 - OTHER GYNECOLOGICALS in ATC;G02C - OTHER GYNECOLOGICALS in ATC;G02CB - Prolactine inhibitors;G02CB02 - lisuride
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CM - Other hypnotics and sedatives in ATC;N05CM19 - suvorexant
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AF - Direct factor Xa inhibitors;B01AF03 - edoxaban
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AF - Imidazole derivatives -  gyncological antiinfectives;G01AF18 - flutrimazole
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BX - Other anxiolytics in ATC;N05BX04 - fabomotizole
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AG - Enema for Constipation;A06AG01 - sodium phosphate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AC - Insulins and analogues for injection -  intermediate-acting;A10AC04 - insulin lispro
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AF - Detoxifying agents for antineoplastic treatment;V03AF03 - calcium folinate
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01E - OTHER CARDIAC PREPARATIONS in ATC;C01EB - Other plain cardiac preparations in ATC;C01EB15 - trimetazidine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BK - Varicella zoster vaccines;J07BK02 - zoster -  live attenuated
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01F - MYDRIATICS AND CYCLOPLEGICS;S01FB - Sympathomimetics excl. antiglaucoma preparations;S01FB03 - ibopamine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J06 - IMMUNE SERA AND IMMUNOGLOBULINS;J06B - IMMUNOGLOBULINS;J06BB - Specific immunoglobulins;J06BB17 - motavizumab
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AB - Progestogens and estrogens systemic contraceptives -  sequential preparations;G03AB05 - desogestrel and ethinylestradiol
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07B - DRUGS USED IN ADDICTIVE DISORDERS;N07BB - Drugs used in alcohol dependence;N07BB02 - calcium carbimide
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC08 - ketoconazole
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LG - Hydrazinophthalazine derivatives and diuretics;C02LG51 - dihydralazine and diuretics -  combinations with other drugs
C - CARDIOVASCULAR SYSTEM DRUGS;C05 - VASOPROTECTIVES;C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE;C05AE - Muscle relaxants FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE;C05AE01 - glyceryl trinitrate
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AX - Other antihistamines for systemic use in ATC;R06AX31 - quifenadine
V - VARIOUS DRUG CLASSES IN ATC;V10 - THERAPEUTIC RADIOPHARMACEUTICALS;V10B - PAIN PALLIATION (BONE SEEKING AGENTS);V10BX - Various pain palliation radiopharmaceuticals;V10BX01 - strontium (89Sr) chloride
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05C - IRRIGATING SOLUTIONS -  BLOOD SUBSTITUTES AND PERFUSION;B05CA - Antiinfective irrigating solutions;B05CA05 - taurolidine
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AG - MAO A Inhibitors -  antidepressant drugs;N06AG02 - moclobemide
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AA - Antiseptic throat preparations;R02AA10 - myristyl-benzalkonium
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX51 - talimogene laherparepvec
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AJ - Pertussis vaccines;J07AJ02 - pertussis -  purified antigen
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AB - Synthetic anticholinergics -  quaternary ammonium compounds for functional gastrointestinal disorders;A03AB09 - isopropamide
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01B - NASAL DECONGESTANTS FOR SYSTEMIC USE;R01BA - Sympathomimetics;R01BA52 - pseudoephedrine -  combinations
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AX - Other antivirals in ATC;J05AX11 - elvitegravir
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AG - Fenamates -  antiinflammatory and antirheumatic drugs;M01AG01 - mefenamic acid
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AD - Enzymes -  antithrombotic;B01AD05 - fibrinolysin
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10B - LIPID MODIFYING AGENTS -  COMBINATIONS;C10BX - HMG CoA reductase inhibitors -  other combinations;C10BX07 - rosuvastatin -  amlodipine and lisinopril
